PCA components,hidden_layer_sizes,alpha,activation,solver,learning_rate,mean_accuracy
150,"(100,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(100,)",0.0001,logistic,adam,constant,0.9833333333333334
150,"(150,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(150,)",0.0001,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(100,)",0.01,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.01,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.0001,logistic,adam,constant,0.9833333333333334
100,"(150,)",0.001,logistic,adam,constant,0.9833333333333334
100,"(150,)",0.0001,logistic,adam,constant,0.9833333333333334
100,"(100,)",0.001,identity,adam,constant,0.9791666666666666
100,"(150,)",0.01,logistic,adam,constant,0.9791666666666666
100,"(100,)",0.0001,identity,adam,constant,0.9791666666666666
100,"(200,)",0.001,logistic,adam,constant,0.9791666666666666
100,"(150,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(150,)",0.001,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(200,)",0.0001,logistic,adam,constant,0.9791666666666666
100,"(200,)",0.01,logistic,adam,constant,0.9791666666666666
150,"(100,)",0.01,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,logistic,adam,constant,0.9791666666666666
150,"(100,)",0.001,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,tanh,adam,constant,0.9791666666666666
100,"(150,)",0.01,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,identity,adam,constant,0.9750000000000001
150,"(150,)",0.001,identity,adam,constant,0.9750000000000001
150,"(150,)",0.0001,identity,adam,constant,0.9750000000000001
150,"(150,)",0.001,tanh,adam,constant,0.975
100,"(100,)",0.01,logistic,adam,constant,0.975
100,"(100,)",0.001,logistic,adam,constant,0.975
100,"(100,)",0.01,identity,adam,constant,0.975
150,"(150,)",0.0001,tanh,adam,constant,0.975
100,"(100,)",0.0001,logistic,adam,constant,0.975
150,"(150,)",0.001,relu,adam,constant,0.9708333333333333
150,"(150,)",0.0001,relu,adam,constant,0.9708333333333333
150,"(150,)",0.01,relu,adam,constant,0.9708333333333333
100,"(150,)",0.001,identity,adam,constant,0.9708333333333333
100,"(100,)",0.0001,tanh,adam,constant,0.9708333333333333
100,"(150,)",0.0001,identity,adam,constant,0.9708333333333333
100,"(150,)",0.01,identity,adam,constant,0.9708333333333333
100,"(100,)",0.001,tanh,adam,constant,0.9708333333333333
100,"(100,)",0.01,tanh,adam,constant,0.9708333333333333
150,"(100,)",0.0001,identity,adam,constant,0.9666666666666668
150,"(100,)",0.001,relu,adam,constant,0.9666666666666668
150,"(100,)",0.0001,relu,adam,constant,0.9666666666666668
150,"(100,)",0.01,identity,adam,constant,0.9666666666666668
150,"(100,)",0.01,relu,adam,constant,0.9666666666666668
150,"(100,)",0.001,identity,adam,constant,0.9666666666666668
100,"(200,)",0.001,identity,adam,constant,0.9666666666666667
100,"(200,)",0.001,tanh,adam,constant,0.9666666666666667
100,"(200,)",0.0001,identity,adam,constant,0.9666666666666667
100,"(200,)",0.01,identity,adam,constant,0.9666666666666667
100,"(200,)",0.01,tanh,adam,constant,0.9666666666666667
100,"(200,)",0.0001,tanh,adam,constant,0.9666666666666667
150,"(200,)",0.001,identity,adam,constant,0.9666666666666667
150,"(200,)",0.0001,identity,adam,constant,0.9666666666666667
150,"(200,)",0.01,identity,adam,constant,0.9666666666666667
100,"(100,)",0.001,relu,adam,constant,0.9625
100,"(100,)",0.01,relu,adam,constant,0.9625
150,"(200,)",0.001,relu,adam,constant,0.9625
150,"(200,)",0.01,tanh,adam,constant,0.9625
150,"(200,)",0.01,relu,adam,constant,0.9625
150,"(200,)",0.0001,relu,adam,constant,0.9625
150,"(200,)",0.0001,tanh,adam,constant,0.9625
150,"(200,)",0.001,tanh,adam,constant,0.9625
100,"(100,)",0.0001,relu,adam,constant,0.9625
100,"(200,)",0.0001,relu,adam,constant,0.9583333333333334
100,"(200,)",0.001,relu,adam,constant,0.9583333333333334
100,"(200,)",0.01,relu,adam,constant,0.9583333333333334
100,"(150,)",0.0001,relu,adam,constant,0.9583333333333334
100,"(150,)",0.001,relu,adam,constant,0.9583333333333334
100,"(150,)",0.01,relu,adam,constant,0.9583333333333334
100,"(200,)",0.001,identity,sgd,constant,0.9500000000000001
100,"(200,)",0.01,identity,sgd,constant,0.9500000000000001
100,"(200,)",0.0001,identity,sgd,constant,0.9500000000000001
150,"(200,)",0.0001,identity,sgd,constant,0.9499999999999998
150,"(200,)",0.01,identity,sgd,constant,0.9499999999999998
150,"(200,)",0.001,identity,sgd,constant,0.9499999999999998
150,"(150,)",0.01,identity,sgd,constant,0.9458333333333334
150,"(150,)",0.0001,identity,sgd,constant,0.9458333333333334
150,"(150,)",0.001,identity,sgd,constant,0.9458333333333334
100,"(200,)",0.0001,tanh,sgd,constant,0.9416666666666668
100,"(200,)",0.01,tanh,sgd,constant,0.9416666666666668
100,"(200,)",0.001,tanh,sgd,constant,0.9416666666666668
150,"(200,)",0.0001,tanh,sgd,constant,0.9291666666666667
150,"(200,)",0.01,tanh,sgd,constant,0.9291666666666667
150,"(200,)",0.001,tanh,sgd,constant,0.9291666666666667
100,"(100,)",0.001,identity,sgd,constant,0.9249999999999999
100,"(200,)",0.001,relu,sgd,constant,0.9249999999999999
100,"(150,)",0.001,identity,sgd,constant,0.9249999999999999
100,"(100,)",0.0001,identity,sgd,constant,0.9249999999999999
100,"(150,)",0.01,identity,sgd,constant,0.9249999999999999
100,"(150,)",0.0001,identity,sgd,constant,0.9249999999999999
100,"(200,)",0.0001,relu,sgd,constant,0.9249999999999999
100,"(100,)",0.01,identity,sgd,constant,0.9249999999999999
100,"(200,)",0.01,relu,sgd,constant,0.9249999999999999
150,"(100,)",0.0001,identity,sgd,constant,0.9208333333333334
150,"(100,)",0.001,identity,sgd,constant,0.9208333333333334
150,"(100,)",0.01,identity,sgd,constant,0.9208333333333334
150,"(150,)",0.0001,tanh,sgd,constant,0.9166666666666666
150,"(150,)",0.001,tanh,sgd,constant,0.9166666666666666
150,"(150,)",0.01,tanh,sgd,constant,0.9166666666666666
150,"(100,)",0.001,tanh,sgd,constant,0.9041666666666668
150,"(100,)",0.01,tanh,sgd,constant,0.9041666666666668
150,"(100,)",0.0001,tanh,sgd,constant,0.9041666666666668
100,"(150,)",0.01,tanh,sgd,constant,0.9
100,"(150,)",0.0001,tanh,sgd,constant,0.9
100,"(150,)",0.001,tanh,sgd,constant,0.9
100,"(100,)",0.001,tanh,sgd,constant,0.8916666666666666
100,"(100,)",0.01,tanh,sgd,constant,0.8916666666666666
100,"(100,)",0.0001,tanh,sgd,constant,0.8916666666666666
150,"(150,)",0.0001,relu,sgd,constant,0.8875000000000001
150,"(150,)",0.01,relu,sgd,constant,0.8875000000000001
150,"(150,)",0.001,relu,sgd,constant,0.8875000000000001
150,"(200,)",0.01,relu,sgd,constant,0.8833333333333334
150,"(200,)",0.0001,relu,sgd,constant,0.8833333333333334
150,"(200,)",0.001,relu,sgd,constant,0.8833333333333334
100,"(150,)",0.0001,relu,sgd,constant,0.8624999999999999
100,"(150,)",0.01,relu,sgd,constant,0.8624999999999999
100,"(150,)",0.001,relu,sgd,constant,0.8624999999999999
100,"(100,)",0.0001,relu,sgd,constant,0.8500000000000001
100,"(100,)",0.001,relu,sgd,constant,0.8500000000000001
100,"(100,)",0.01,relu,sgd,constant,0.8500000000000001
150,"(100,)",0.01,relu,sgd,constant,0.8458333333333333
150,"(100,)",0.0001,relu,sgd,constant,0.8458333333333333
150,"(100,)",0.001,relu,sgd,constant,0.8458333333333333
100,"(200,)",0.01,logistic,sgd,constant,0.2833333333333333
100,"(200,)",0.0001,logistic,sgd,constant,0.2833333333333333
100,"(200,)",0.001,logistic,sgd,constant,0.2833333333333333
150,"(200,)",0.01,logistic,sgd,constant,0.27499999999999997
150,"(200,)",0.0001,logistic,sgd,constant,0.27499999999999997
150,"(200,)",0.001,logistic,sgd,constant,0.27499999999999997
100,"(150,)",0.0001,logistic,sgd,constant,0.2708333333333333
100,"(150,)",0.01,logistic,sgd,constant,0.2708333333333333
100,"(150,)",0.001,logistic,sgd,constant,0.2708333333333333
150,"(150,)",0.0001,logistic,sgd,constant,0.2125
150,"(150,)",0.001,logistic,sgd,constant,0.20833333333333334
150,"(150,)",0.01,logistic,sgd,constant,0.20833333333333334
150,"(100,)",0.001,logistic,sgd,constant,0.18333333333333335
150,"(100,)",0.01,logistic,sgd,constant,0.18333333333333335
150,"(100,)",0.0001,logistic,sgd,constant,0.18333333333333335
100,"(100,)",0.01,logistic,sgd,constant,0.1708333333333333
100,"(100,)",0.001,logistic,sgd,constant,0.1708333333333333
100,"(100,)",0.0001,logistic,sgd,constant,0.1708333333333333
